Q	C	D
510	0.07	2.42
520	0.07	2.32
530	0.08	2.35
540	0.08	2.41
550	0.08	2.56
560	0.08	2.58
570	0.08	2.62
580	0.08	2.69
590	0.08	2.67
600	0.09	2.96
610	0.09	2.94
620	0.09	2.86
630	0.09	2.86
640	0.09	2.84
650	0.09	2.84
660	0.1	3.17
670	0.1	3.24
680	0.1	3.02
690	0.1	2.97
700	0.1	3.12
710	0.1	3.33
720	0.1	3.29
730	0.1	3.37
740	0.1	3.15
750	0.11	3.23
760	0.11	3.2
770	0.11	3.59
780	0.11	3.54
790	0.11	3.38
800	0.11	3.38
810	0.11	3.58
820	0.11	3.68
830	0.12	3.78
840	0.12	3.76
850	0.12	3.82
860	0.12	3.75
870	0.13	4.34
880	0.13	4.04
890	0.13	3.91
900	0.13	4.25
910	0.13	4
920	0.13	4.33
930	0.13	4.22
940	0.14	4.05
950	0.15	4.1
960	0.14	4.57
970	0.14	4.61
980	0.14	4.66
990	0.15	4.64
1000	0.15	4.8
1010	0.15	4.8
1020	0.16	4.8
1030	0.15	4.89
1040	0.17	4.82
1050	0.16	5.07
1060	0.16	5.02
1070	0.16	4.66
1080	0.16	5.17
1090	0.16	5.17
1100	0.16	5.27
1110	0.17	5.16
1120	0.17	5.18
1130	0.17	5.36
1140	0.17	5.05
1150	0.17	5.07
1160	0.17	5.05
1170	0.17	5.56
1180	0.17	5.53
1190	0.18	5.89
1200	0.18	5.62
0	0	0.01
10	0	0.05
20	0	0.1
30	0	0.24
40	0	0.27
50	0.01	0.31
60	0.01	0.35
70	0.01	0.39
80	0.01	0.48
90	0.01	0.52
100	0.01	0.66
110	0.02	0.67
120	0.02	0.71
130	0.02	0.74
140	0.02	0.86
150	0.02	0.81
160	0.02	0.82
170	0.02	0.94
180	0.03	0.95
190	0.03	0.94
200	0.03	0.9
210	0.03	1.02
220	0.03	1.06
230	0.03	1.06
240	0.03	1.2
250	0.04	1.26
260	0.04	1.31
270	0.04	1.33
280	0.04	1.43
290	0.04	1.42
300	0.04	1.5
310	0.04	1.51
320	0.05	1.52
330	0.05	1.47
340	0.05	1.48
350	0.05	1.63
360	0.05	1.7
370	0.05	1.63
380	0.05	1.75
390	0.06	1.84
400	0.06	1.92
410	0.06	1.99
420	0.06	1.95
430	0.06	1.89
440	0.06	1.97
450	0.06	2.18
460	0.07	2.15
470	0.07	2.05
480	0.07	2.29
490	0.07	2.4
500	0.07	2.27
510	0.07	2.3
520	0.07	2.43
530	0.08	2.52
540	0.08	2.53
550	0.08	2.46
560	0.08	2.66
570	0.08	2.66
580	0.08	2.47
590	0.08	2.67
600	0.09	3.01
610	0.09	2.79
620	0.09	2.85
630	0.09	3.08
640	0.1	2.98
650	0.09	3.22
660	0.1	3.1
670	0.1	3.02
680	0.1	3.14
690	0.1	3.01
700	0.1	3.16
710	0.11	3.13
720	0.11	3.19
730	0.12	3.43
740	0.11	3.33
750	0.11	3.17
760	0.11	3.48
770	0.11	3.41
780	0.12	3.55
790	0.11	3.49
800	0.11	3.36
810	0.12	3.5
820	0.12	3.54
830	0.12	3.54
840	0.13	4.02
850	0.13	3.77
860	0.13	3.96
870	0.13	4.37
880	0.13	3.89
890	0.13	3.97
900	0.13	4.28
910	0.14	4.32
920	0.14	4.26
930	0.14	4.64
940	0.14	4.49
950	0.14	4.37
960	0.15	4.42
970	0.15	4.55
980	0.15	4.55
990	0.16	4.76
1000	0.16	4.87
1010	0.16	4.79
1020	0.16	4.53
1030	0.16	4.82
1040	0.16	4.96
1050	0.16	4.97
1060	0.17	4.84
1070	0.16	4.98
1080	0.17	4.97
1090	0.18	4.83
1100	0.18	5.02
1110	0.18	5.27
1120	0.19	5.23
1130	0.18	5.35
1140	0.18	5.24
1150	0.18	5.15
1160	0.18	5.24
1170	0.18	5.32
1180	0.19	5.39
1190	0.19	5.97
1200	0.19	5.77
0	0	0.01
10	0	0.06
20	0	0.11
30	0	0.22
40	0	0.28
50	0.01	0.31
60	0.01	0.38
70	0.01	0.41
80	0.01	0.52
90	0.01	0.54
100	0.01	0.56
110	0.02	0.63
120	0.02	0.68
130	0.02	0.72
140	0.02	0.88
150	0.02	0.88
160	0.02	0.85
170	0.02	0.88
180	0.03	0.91
190	0.03	1.02
200	0.03	0.92
210	0.03	0.97
220	0.03	1.04
230	0.03	1.14
240	0.03	1.15
250	0.04	1.23
260	0.04	1.24
270	0.04	1.34
280	0.04	1.38
290	0.04	1.37
300	0.04	1.42
310	0.05	1.54
320	0.05	1.55
330	0.05	1.6
340	0.05	1.57
350	0.05	1.54
360	0.05	1.7
370	0.05	1.66
380	0.05	1.67
390	0.06	1.78
400	0.06	1.96
410	0.06	2.02
420	0.06	1.94
430	0.06	2.03
440	0.06	2.11
450	0.06	2.06
460	0.07	2.08
470	0.07	2.04
480	0.07	2.24
490	0.07	2.24
500	0.07	2.22
510	0.08	2.57
520	0.07	2.45
530	0.08	2.4
540	0.08	2.58
550	0.08	2.55
560	0.08	2.42
570	0.08	2.51
580	0.08	2.85
590	0.09	2.66
600	0.09	2.72
610	0.09	3
620	0.09	2.77
630	0.09	2.88
640	0.09	3.19
650	0.1	2.94
660	0.1	2.86
670	0.1	2.98
680	0.1	3.11
690	0.1	3.19
700	0.1	2.95
710	0.1	3.28
720	0.11	3.26
730	0.11	3.34
740	0.11	3.23
750	0.11	3.6
760	0.11	3.51
770	0.11	3.48
780	0.11	3.46
790	0.11	3.31
800	0.11	3.39
810	0.12	3.72
820	0.12	3.52
830	0.13	3.89
840	0.12	3.77
850	0.12	3.72
860	0.13	3.82
870	0.13	3.94
880	0.14	4.13
890	0.14	4.05
900	0.14	4.35
910	0.14	4.35
920	0.14	4.22
930	0.15	4.17
940	0.15	4.37
950	0.15	4.22
960	0.15	4.53
970	0.15	4.63
980	0.16	4.51
990	0.16	4.57
1000	0.15	4.69
1010	0.15	4.55
1020	0.15	4.59
1030	0.15	4.62
1040	0.16	4.82
1050	0.17	4.66
1060	0.16	4.93
1070	0.16	4.92
1080	0.17	5.15
1090	0.17	5.19
1100	0.16	5.35
1110	0.17	5.06
1120	0.17	5.54
1130	0.17	5.2
1140	0.17	5.53
1150	0.17	5.48
1160	0.17	5.59
1170	0.17	5.53
1180	0.18	5.26
1190	0.18	5.83
1200	0.19	6
0	0	0.01
10	0	0.06
20	0	0.11
30	0	0.21
40	0	0.26
50	0.01	0.32
60	0.01	0.35
70	0.01	0.44
80	0.01	0.5
90	0.01	0.53
100	0.01	0.58
110	0.02	0.61
120	0.02	0.78
130	0.02	0.76
140	0.02	1.02
150	0.02	0.89
160	0.02	0.91
170	0.03	1.01
180	0.03	0.89
190	0.03	1.02
200	0.03	1.01
210	0.03	1.03
220	0.03	1.17
230	0.03	1.16
240	0.04	1.15
250	0.04	1.15
260	0.04	1.26
270	0.04	1.39
280	0.04	1.48
290	0.04	1.35
300	0.04	1.33
310	0.04	1.46
320	0.05	1.6
330	0.05	1.47
340	0.05	1.55
350	0.05	1.67
360	0.05	1.69
370	0.05	1.75
380	0.05	1.81
390	0.06	1.98
400	0.06	1.86
410	0.06	1.86
420	0.06	1.98
430	0.06	1.95
440	0.06	1.96
450	0.07	2.1
